ciudad,latitude,longitude
Bertamirans,42.8594847,-8.6501713
Valls,41.2835355,1.2458562
Castellón de la Plana/Castelló de la Plana,39.9860347,-0.0377354
Caravaca de la Cruz,38.1046979,-1.861118
Lliça d'Amunt,41.6116458,2.2393525
Vitoria-Gasteiz,42.8465088,-2.6724025
Bolaños de Calatrava,38.9062533,-3.6629811
Doña Manuela,37.9307997,-4.7542835
Ponferrada,42.5454124,-6.5938719
Blanes,41.6756178,2.7932391
Igollo de Camargo,43.4311424,-3.8835232
Vila-Real/Villarreal,39.9329581,-0.0965352
Santa Cruz Santa Cruz,37.3851925,-5.9884558
Bencarron,37.2107351,-5.8119625
Alfafar,39.4200749,-0.3891355
Gavarres,41.9911397,2.9074286
Orihuela,38.0856891,-0.9448805
Mungia,43.3540663,-2.8464157
Sant Antoni de Calonge,41.8472742,3.1026026
Bekea,43.2285756,-2.8255043
Beade,42.3292437,-8.1276551
Pedralba,42.0245478,-6.6938232
Crevillent,38.2493099,-0.8111359
Gamarra Menor,42.8860382,-2.6475788
Parque Empresarial San Fernando de Henares,40.4451852,-3.4892979
Urduliz,43.3730856,-2.9483534
Pola de Siero,43.3879615,-5.6649428
Cornella del Terri,42.0898363,2.8157343
Mejorada del Campo,40.3971785,-3.4896068
Sueca,39.2025604,-0.3111645
Ripollet,41.4993372,2.1573095
Sant Vicenç dels Horts,41.3934193,2.0099482
El Villar,39.7337011,-0.8273481
Don Benito,38.9540269,-5.8619466
San Martin,43.2752687,-5.6039826
Torredonjimeno,37.7610096,-3.9511024
Sant Just Desvern,41.3815832,2.0750677
Guadalajara,40.7399963,-2.50593
La Font,41.3914112,1.6682797
La Borbolla,43.3680689,-4.6358234
Poligono Industrial Aimayr,40.2325437,-3.6351979
Conil de la Frontera,36.277054,-6.0881874
Mérida,38.9174665,-6.3443977
Aizoain,42.8511843,-1.6827535
Collado Mediano,40.6943707,-4.0247212
Kukullaga,43.2510643,-2.8896799
El Puerto de Santa María,36.6004006,-6.2252702
Torrelodones,40.5762809,-3.928603
Figueres,42.2666314,2.9638434
Los Garres,37.9564693,-1.0918432
Sotillo de la Adrada,40.2920324,-4.5826532
Las Matas,40.5520132,-3.8964729
O Porriño,42.1618812,-8.6202683
Illescas,40.1248436,-3.8492688
Canovelles,41.6173948,2.28288
Rivas Vaciamadrid,40.3536054,-3.5310879
Atarfe,37.2226964,-3.6865662
Montequinto,37.3421159,-5.9346082
Torres de la Alameda,40.4021516,-3.360625
Rota,36.6228636,-6.3599595
Rutis,43.3165458,-8.3955574
Elgoibar,43.2143558,-2.4168588
Zamora,41.6857693,-5.942315
San Juan Mozarrifar,41.7093079,-0.8465762
Coria,39.9831574,-6.5366803
Lugo,43.0396042,-7.4566072
Mosteiron,43.3494154,-8.2848397
Poligono Industrial Ajalvir,40.5311728,-3.4905767
La Estacada,38.4629351,-1.3358465
Guadassuar,39.1857839,-0.4778181
Alcaudete,37.5881403,-4.0812937
Lorca,37.6711989,-1.6988592
Lorquí,38.0815272,-1.2536182
Vilanoveta,41.2344052,1.7506113
Vega Santa Maria,38.0905344,-3.6619154
Sant Feliu de Llobregat,41.3812851,2.0446381
Lugones,43.404341,-5.8120701
Mira-Sol,41.4692666,2.0619344
Sagunt/Sagunto,39.6792916,-0.2786451
El Caleyu,43.2689466,-5.6118179
Parque Empresarial La Moraleja,40.5155208,-3.6564655
Sant Feliu de Codines,41.6885036,2.1646769
Guardiola de Berguedà,42.2338584,1.8792389
Las Vegas,40.794965,-4.2779726
Piera,41.5216923,1.7526335
Aranjuez,40.03221,-3.6039604
Torrefarrera,41.6735377,0.6066894
El Campello,38.427416,-0.3983685
O Rio Da Ucha,42.5326435,-8.8104581
Calonge,41.8621982,3.0747803
Benetússer,39.4228928,-0.3974783
Camporredondo,41.47374,-4.50527
La Sénia,40.6352128,0.2795758
Lloret de Mar,41.6973503,2.8392392
Orkoien,42.8234903,-1.7022679
El Cuervo,40.1510523,-1.3258089
Trasona,43.5518617,-5.8742032
Pozuelo de Alarcón,40.4346528,-3.814834
Sant Joan Despí,41.3667951,2.0570346
Bigues,41.6829678,2.2083886
Torredembarra,41.146155,1.3944433
Lora del Río,37.6574267,-5.5275818
L' Alcudia de Crespins,38.9710757,-0.5890951
Bollullos de la Mitación,37.3399004,-6.1376821
Amposta,40.7079905,0.5812561
Aspe,38.3459902,-0.7692125
Bonavista,41.1191749,1.1919093
San Luis de Sabinillas,36.367303,-5.227807
Cuenca,40.0661031,-2.1313528
Zaratán,41.6594549,-4.7833204
Andújar,38.0392362,-4.0505603
Manlleu,41.9999811,2.2841159
Oliva,38.9202443,-0.1208981
Llano de Brujas,38.006209,-1.0713009
Canals,38.9623954,-0.5832175
Riba-Roja de Turia,39.5463524,-0.5699662
Mesas de Santa Rosa,36.7242794,-6.1089707
Yecla,38.6135956,-1.1157882
Mijas,36.5957471,-4.6375188
Baza,37.4888637,-2.7709805
Irún,43.3383176,-1.7888095
Rafelbuñol/Rafelbunyol,39.5884632,-0.3325421
Museros,39.5644775,-0.3426529
Olías del Rey,39.9447357,-3.9872516
Granja de Rocamora,38.1506475,-0.8899808
Mairena del Alcor,37.3730933,-5.7489246
Palafolls,41.6673913,2.7499262
Camping Costa Blanca,38.435529,-0.3883763
Mollerussa,41.6298226,0.8937727
Alcover,41.2629186,1.1687697
El Raval de La Llet,40.7921917,0.5257326
Tavernes Blanques,39.5064294,-0.3625992
Casas de Don Gómez,40.0081286,-6.5999931
Ulldecona,40.5967567,0.4460301
Nogueirosa,43.3982292,-8.1485095
La Calavera,37.8247843,-0.8171954
Ugarte,43.2918355,-3.0159244
Barbastro,42.0365679,0.127111
Linares,38.0931247,-3.6357207
Arragua,43.3087623,-1.8800108
Churriana de la Vega,37.1477968,-3.6462454
La Venta del Viso,38.4425237,-3.7281886
Vilatenim,42.2677156,2.995153
Ondara,38.8277759,0.0170054
San Fernando de Henares Madrid,40.4248548,-3.5350369
Villanueva de la Serena,38.9736819,-5.8003669
Daganzo de Arriba,40.5451953,-3.45785
Tabernas,37.0498879,-2.3913774
Urbanizacion Las Colinas,36.1430399,-5.4575933
Gamarra Mayor,42.8839421,-2.6634179
Los Antolinos,37.8348265,-0.8073419
El Papiolet,41.2830008,1.5279012
Olot,42.1822177,2.4890211
Santa Cruz de Bezana,43.4429407,-3.9049243
Benidorm,38.5406255,-0.1290929
Cubas de la Sagra,40.1908352,-3.8378366
Campillos,37.0470137,-4.8621698
Partida Los Pinos,38.6572833,0.0744838
Chiclana de la Frontera,36.4191096,-6.1460683
Quart de Poblet,39.4827253,-0.4438854
Aldaia,39.4647886,-0.4607604
La Solana,38.941937,-3.236528
Carrión de los Céspedes,37.368131,-6.32942
La Roca del Vallès,41.5873365,2.3260575
Martiartu,43.339393,-2.9628796
Palmera,38.9417448,-0.1537426
Carretera de Cobeña,40.5369922,-3.4851576
Montgat,41.4666983,2.2789654
Plataforma Logistica Plaza,41.640383,-0.9949193
Guarnizo,43.39953,-3.83026
Alhaurín el Grande,36.6421248,-4.6867447
Plasencia,40.029921,-6.090168
Baena,37.6173035,-4.324371
Padul,37.0222913,-3.6274938
Medina del Campo,41.3085496,-4.9150256
Sondika,43.2979405,-2.9272819
Alhendín,37.1078115,-3.6456986
La Serna,42.4157678,-4.6645088
Vilalba,43.2962819,-7.6787671
Orilla del Azarbe,38.0535197,-1.0223451
Cuéllar,41.3997643,-4.3150702
Alella,41.4952867,2.2942758
Quintanar de la Orden,39.5908125,-3.043053
Begíjar,37.9853073,-3.5342046
Rubians,42.5764807,-8.7364048
Ibiricu de Egües,42.8250421,-1.5553605
Vilches,38.2107652,-3.5130577
Almassera,39.5118213,-0.3562374
Palafrugell,41.9183618,3.1619905
R.a.c.e.,41.3705569,2.0895621
Santa Pola,38.1923641,-0.5555464
La Escucha,37.3577882,-2.9120746
Martos,37.7222633,-3.9703241
Oseiro,43.3210165,-8.4805778
Santurtzi,43.3287527,-3.0318766
Alberic,39.1164369,-0.5201838
Argamasilla de Calatrava,38.7268428,-4.0792825
Iznatoraf,38.156867,-3.0327811
Tajonar/Taxoare,42.7690499,-1.6100399
Manacor,39.5696458,3.2106461
Bonrepos I Mirambell,39.5173822,-0.3652984
Golmés,41.6331288,0.9321508
Silleda,42.697981,-8.2466373
Celra,42.0247111,2.8789816
Vilobí d'Onyar,41.8882291,2.7423246
Olivenza,38.6854813,-7.0995738
Alcañiz,41.0506674,-0.1299694
San Jose de La Rinconada,37.4865155,-5.9416528
Puerto Lumbreras,37.5635045,-1.8076233
Sant Quirze de Besora,42.101426,2.2170289
Novelda,38.3842144,-0.7674146
La Zubia,37.1206862,-3.5850833
Camino Viejo de Callosa,38.0918713,-0.9273255
Montblanc,41.3762309,1.1605628
Puebla de la Calzada,38.8936017,-6.6261713
Barrio del Progreso,37.9649426,-1.1193736
La Cruz,43.044212,-3.8667761
Tora,41.8120807,1.4037146
Alboraya,39.5009954,-0.34948
Moguer,37.2746182,-6.8373527
Sant Joanet,39.071992,-0.4869889
Sangonera La Seca,37.9083153,-1.2499294
Llinars del Vallès,41.6383547,2.4033771
A Cruz,42.4057129,-7.0874975
Sant Joan les Fonts,42.2132951,2.5134302
Añorga,43.2851171,-2.0005677
Gamonal,42.3539136,-3.6681082
Teruel,40.6005259,-0.9229282
Tavernes de la Valldigna,39.0715565,-0.2678045
Tamaraceite,28.1002119,-15.4753471
Montagut,42.2309257,2.5967415
Bétera,39.5917307,-0.4622695
El Papiol,41.4379916,2.0108896
Beniel,38.0467801,-1.001421
Nonduermas,37.9716175,-1.1701734
Balsareny,41.8631839,1.8755997
Miguelturra,38.9648147,-3.8898604
Islantilla,37.2066136,-7.2367145
Fuente del Rey,37.4355204,-4.197016
Deltebre,40.7203938,0.7243445
Cardedeu,41.6385167,2.3558408
Alcorisa,40.8917054,-0.3821184
Campamento,40.3946832,-3.7682788
Olesa de Montserrat,41.543053,1.8931874
Errenteria,43.3150168,-1.8992856
Torrejón de Velasco,40.1869283,-3.7769069
Avilés,43.5554436,-5.9222466
Gelves,37.3395756,-6.0260114
Almonte,37.2611686,-6.5175751
Poligono Industrial a Gandara,43.4894268,-8.1982828
Polinya,41.5576041,2.1566544
Tercia,39.8809766,-3.487105
Casserres,42.0138199,1.843045
Aljucer,37.9601488,-1.1508064
Ripoll,42.1982391,2.1932496
Pla de na Tesa,39.8605134,3.1705762
Sant Antoni de Vilamajor,41.6735604,2.4012202
Sant Andreu de la Barca,41.4499648,1.9719416
Llíria,39.6251478,-0.5952749
Campo Real,40.3381881,-3.3813911
Les Borges Blanques,41.5203322,0.8684098
Sant Celoni,41.6895041,2.4914526
Xabia/Javea,38.7893804,0.1634168
Mula,38.0418669,-1.4906872
Cunit,41.197596,1.6329521
Catral,38.1602989,-0.8014035
Llocnou de Sant Jeroni,38.9130107,-0.2841276
Armilla,37.1431197,-3.6277259
Peligros,37.2306631,-3.6279744
Arenys de Mar,41.5797031,2.5491562
El Guincho,28.0443962,-16.6149176
El Peñón,37.5940087,-3.1819239
